Nb Anchors,id_1,id_2,id_3,id_4,d1,d2,d3,d4,pos_x,pos_y,Timestamp
3,AAA1,AAA2,AAA3,,2.84,4.08,1.13,,6.319,8.878,2025-11-11 10:42:39.519556
3,AAA1,AAA2,AAA3,,2.83,4.0,1.28,,6.384,8.78,2025-11-11 10:42:40.112817
3,AAA1,AAA2,AAA3,,2.83,4.0,1.31,,6.396,8.771,2025-11-11 10:42:40.699866
3,AAA1,AAA2,AAA3,,2.83,4.01,1.29,,6.389,8.785,2025-11-11 10:42:41.260305
3,AAA1,AAA2,AAA3,,2.86,4.01,1.31,,6.376,8.766,2025-11-11 10:42:41.835034
4,AAA1,AAA2,AAA3,AAA7,2.97,3.92,1.34,8.66,6.295,8.644,2025-11-11 10:42:42.543071
4,AAA1,AAA2,AAA3,AAA7,3.02,3.71,1.37,8.53,6.269,8.477,2025-11-11 10:42:43.252467
4,AAA1,AAA2,AAA3,AAA7,3.02,3.68,1.4,8.53,6.282,8.461,2025-11-11 10:42:43.971639
4,AAA1,AAA2,AAA3,AAA7,3.96,3.59,1.62,8.37,5.525,8.098,2025-11-11 10:42:44.685658
4,AAA1,AAA2,AAA3,AAA7,4.22,3.59,1.96,8.2,5.394,7.908,2025-11-11 10:42:45.407266
4,AAA1,AAA2,AAA3,AAA7,4.72,3.79,1.97,8.26,4.822,7.824,2025-11-11 10:42:46.128268
4,AAA1,AAA2,AAA3,AAA7,5.27,3.79,2.39,7.75,4.377,7.274,2025-11-11 10:42:46.845959
4,AAA1,AAA2,AAA3,AAA7,5.33,3.43,2.69,7.43,4.496,6.928,2025-11-11 10:42:47.560194
4,AAA1,AAA2,AAA3,AAA7,5.35,3.37,2.73,7.33,4.526,6.854,2025-11-11 10:42:48.269998
4,AAA1,AAA2,AAA3,AAA7,5.51,3.19,3.07,6.96,4.545,6.49,2025-11-11 10:42:48.976997
4,AAA1,AAA2,AAA3,AAA7,5.66,3.03,3.34,6.31,4.658,6.051,2025-11-11 10:42:49.690428
4,AAA1,AAA2,AAA3,AAA7,5.8,2.81,3.39,6.03,4.751,5.852,2025-11-11 10:42:50.410731
4,AAA1,AAA2,AAA3,AAA7,5.8,2.34,4.54,5.41,5.5,5.055,2025-11-11 10:42:51.129743
4,AAA1,AAA2,AAA3,AAA7,5.8,2.32,4.54,5.18,5.504,4.959,2025-11-11 10:42:51.850583
4,AAA1,AAA2,AAA3,AAA7,5.89,2.32,4.54,4.95,5.4,4.836,2025-11-11 10:42:52.573834
4,AAA1,AAA2,AAA3,AAA7,6.46,2.29,4.54,4.55,5.156,4.515,2025-11-11 10:42:53.276243
4,AAA1,AAA2,AAA3,AAA7,6.71,2.29,5.59,3.91,5.565,3.731,2025-11-11 10:42:53.992899
4,AAA1,AAA2,AAA3,AAA7,6.71,2.29,6.11,3.87,6.215,3.521,2025-11-11 10:42:54.711121
4,AAA1,AAA2,AAA3,AAA7,6.71,2.41,6.38,3.36,6.666,3.205,2025-11-11 10:42:55.418703
4,AAA2,AAA3,AAA5,AAA7,2.75,6.87,7.31,2.78,6.674,2.607,2025-11-11 10:42:56.142491
4,AAA2,AAA3,AAA5,AAA7,2.75,7.0,6.81,2.76,6.259,2.508,2025-11-11 10:42:56.864444
4,AAA2,AAA3,AAA5,AAA7,2.79,7.15,6.83,2.42,6.394,2.32,2025-11-11 10:42:57.581109
4,AAA2,AAA3,AAA5,AAA7,2.92,7.8,7.22,2.33,6.874,2.069,2025-11-11 10:42:58.306809
4,AAA2,AAA3,AAA5,AAA7,3.18,7.81,7.26,2.29,6.902,1.932,2025-11-11 10:42:59.026436
4,AAA2,AAA3,AAA5,AAA7,3.21,8.28,7.2,1.96,6.983,1.67,2025-11-11 10:42:59.743544
4,AAA2,AAA3,AAA5,AAA7,3.31,8.28,7.2,1.83,6.997,1.594,2025-11-11 10:43:00.471196
4,AAA2,AAA3,AAA5,AAA7,4.07,8.37,7.0,1.7,6.763,1.165,2025-11-11 10:43:01.188361
4,AAA2,AAA3,AAA5,AAA7,4.07,8.77,6.93,1.52,6.786,0.947,2025-11-11 10:43:01.909095
4,AAA2,AAA3,AAA5,AAA7,4.16,8.83,6.85,1.55,6.703,0.878,2025-11-11 10:43:02.630384
4,AAA2,AAA3,AAA5,AAA7,4.15,8.95,7.04,1.43,6.918,0.823,2025-11-11 10:43:03.344437
4,AAA2,AAA3,AAA5,AAA7,4.15,9.15,7.14,1.49,7.03,0.752,2025-11-11 10:43:04.065086
4,AAA2,AAA3,AAA5,AAA7,4.34,9.23,7.14,1.75,6.969,0.677,2025-11-11 10:43:04.792131
4,AAA2,AAA3,AAA5,AAA7,4.44,9.61,7.66,1.79,7.523,0.507,2025-11-11 10:43:05.516357
4,AAA2,AAA3,AAA5,AAA7,4.44,9.59,7.67,1.79,7.531,0.518,2025-11-11 10:43:06.239057
4,AAA2,AAA3,AAA5,AAA7,4.44,9.59,7.67,1.82,7.525,0.525,2025-11-11 10:43:06.945320
4,AAA2,AAA3,AAA5,AAA7,4.44,9.58,7.15,1.81,6.981,0.532,2025-11-11 10:43:07.664944
4,AAA2,AAA3,AAA5,AAA7,4.43,9.62,7.28,1.82,7.112,0.534,2025-11-11 10:43:08.385209
4,AAA2,AAA3,AAA5,AAA7,4.44,9.62,7.32,1.84,7.146,0.538,2025-11-11 10:43:09.098698
3,AAA2,AAA5,AAA7,,4.43,7.33,1.83,,7.251,1.138,2025-11-11 10:43:09.804007
3,AAA2,AAA5,AAA7,,4.43,7.33,1.83,,7.251,1.138,2025-11-11 10:43:10.521538
3,AAA2,AAA5,AAA7,,4.43,7.33,1.83,,7.251,1.138,2025-11-11 10:43:11.243544
3,AAA2,AAA5,AAA7,,4.43,7.33,1.83,,7.251,1.138,2025-11-11 10:43:11.959065
3,AAA2,AAA5,AAA7,,4.43,7.33,1.83,,7.251,1.138,2025-11-11 10:43:12.667361
3,AAA2,AAA5,AAA7,,4.43,7.33,1.83,,7.251,1.138,2025-11-11 10:43:13.379591
4,AAA2,AAA3,AAA5,AAA7,4.4,8.56,7.4,1.83,7.102,1.008,2025-11-11 10:43:14.101320
4,AAA2,AAA3,AAA5,AAA7,3.22,8.14,7.57,1.96,7.337,1.725,2025-11-11 10:43:14.819939
4,AAA2,AAA3,AAA5,AAA7,2.89,7.93,7.6,2.14,7.321,2.002,2025-11-11 10:43:15.539547
4,AAA2,AAA3,AAA5,AAA7,2.89,7.54,7.6,2.45,7.18,2.218,2025-11-11 10:43:16.259738
4,AAA2,AAA3,AAA5,AAA7,2.82,7.2,7.08,2.64,6.57,2.388,2025-11-11 10:43:16.971581
4,AAA2,AAA3,AAA5,AAA7,2.65,6.85,7.06,2.84,6.44,2.644,2025-11-11 10:43:17.677975
4,AAA2,AAA3,AAA5,AAA7,2.76,6.82,6.38,3.38,5.663,2.79,2025-11-11 10:43:18.402580
4,AAA2,AAA3,AAA5,AAA7,3.05,6.92,5.71,3.5,5.057,2.687,2025-11-11 10:43:19.116275
4,AAA2,AAA3,AAA5,AAA7,3.72,7.01,5.15,3.56,4.547,2.441,2025-11-11 10:43:19.833197
4,AAA2,AAA3,AAA5,AAA7,4.01,7.24,4.54,4.11,3.933,2.441,2025-11-11 10:43:20.549553
4,AAA2,AAA3,AAA5,AAA7,4.11,7.39,4.17,4.27,3.693,2.359,2025-11-11 10:43:21.261862
4,AAA2,AAA3,AAA5,AAA7,4.11,7.41,3.63,4.43,3.434,2.325,2025-11-11 10:43:21.973400
4,AAA2,AAA3,AAA5,AAA7,4.11,7.41,3.63,4.43,3.434,2.325,2025-11-11 10:43:22.689034
4,AAA2,AAA3,AAA5,AAA7,4.11,7.41,3.63,4.43,3.434,2.325,2025-11-11 10:43:23.402332
3,AAA2,AAA5,AAA7,,4.11,3.63,4.43,,3.436,2.284,2025-11-11 10:43:24.121064
3,AAA2,AAA5,AAA7,,4.11,3.63,4.43,,3.436,2.284,2025-11-11 10:43:24.832271
3,AAA2,AAA5,AAA7,,4.11,3.63,4.43,,3.436,2.284,2025-11-11 10:43:25.548135
3,AAA2,AAA5,AAA7,,4.11,3.63,4.43,,3.436,2.284,2025-11-11 10:43:26.265830
3,AAA2,AAA5,AAA7,,4.11,3.63,4.43,,3.436,2.284,2025-11-11 10:43:26.980921
3,AAA2,AAA5,AAA7,,4.19,3.63,4.95,,3.144,2.607,2025-11-11 10:43:27.694583
4,AAA2,AAA3,AAA5,AAA7,5.67,7.65,3.76,6.66,1.709,3.153,2025-11-11 10:43:28.419155
4,AAA2,AAA3,AAA5,AAA7,5.71,7.64,3.76,6.66,1.692,3.157,2025-11-11 10:43:29.147932
4,AAA2,AAA3,AAA5,AAA7,5.71,7.64,3.78,6.65,1.707,3.155,2025-11-11 10:43:29.859072
4,AAA2,AAA3,AAA5,AAA7,5.7,7.64,3.76,6.69,1.677,3.174,2025-11-11 10:43:30.580709
4,AAA2,AAA3,AAA5,AAA7,5.77,7.65,3.56,6.62,1.608,3.09,2025-11-11 10:43:31.308167
4,AAA2,AAA3,AAA5,AAA7,5.77,7.67,3.64,6.62,1.646,3.092,2025-11-11 10:43:32.013745
4,AAA2,AAA3,AAA5,AAA7,5.75,8.33,3.58,6.15,2.051,2.378,2025-11-11 10:43:32.733665
4,AAA2,AAA3,AAA5,AAA7,5.75,8.75,3.58,6.15,2.127,2.08,2025-11-11 10:43:33.449523
4,AAA2,AAA3,AAA5,AAA7,5.75,8.75,3.58,6.15,2.127,2.08,2025-11-11 10:43:34.163447
4,AAA2,AAA5,AAA6,AAA7,5.75,3.58,2.26,6.15,1.754,3.169,2025-11-11 10:43:34.874685
4,AAA2,AAA5,AAA6,AAA7,6.32,4.01,1.59,7.7,0.921,3.887,2025-11-11 10:43:35.587773
4,AAA2,AAA5,AAA6,AAA7,6.7,4.33,1.42,8.02,0.651,4.097,2025-11-11 10:43:36.300659
4,AAA2,AAA5,AAA6,AAA7,6.7,4.65,1.2,8.49,0.452,4.63,2025-11-11 10:43:37.017187
