Nb Anchors,id_1,id_2,id_3,id_4,d1,d2,d3,d4,pos_x,pos_y,Timestamp
3,AAA2,AAA3,AAA6,,0.3,3.0,4.21,,3.077,2.872,2025-11-05 10:32:49.060158
3,AAA2,AAA3,AAA6,,0.33,2.99,4.23,,3.061,2.905,2025-11-05 10:32:49.643478
3,AAA2,AAA3,AAA6,,0.33,3.0,4.2,,3.062,2.873,2025-11-05 10:32:50.222216
3,AAA2,AAA3,AAA6,,0.34,2.97,4.19,,3.042,2.877,2025-11-05 10:32:50.808578
3,AAA2,AAA3,AAA6,,0.32,2.97,4.23,,3.057,2.906,2025-11-05 10:32:51.384777
3,AAA2,AAA3,AAA6,,0.32,3.0,4.23,,3.07,2.898,2025-11-05 10:32:52.089875
4,AAA2,AAA3,AAA6,AAA7,0.32,3.0,4.22,2.96,3.063,2.916,2025-11-05 10:32:52.787545
4,AAA2,AAA3,AAA6,AAA7,0.32,3.01,4.22,2.96,3.067,2.915,2025-11-05 10:32:53.497399
4,AAA2,AAA3,AAA6,AAA7,0.31,2.98,4.25,2.97,3.065,2.932,2025-11-05 10:32:54.206584
4,AAA2,AAA3,AAA6,AAA7,0.32,2.98,4.27,2.96,3.067,2.935,2025-11-05 10:32:54.910237
4,AAA2,AAA3,AAA6,AAA7,0.33,2.98,4.26,2.96,3.061,2.933,2025-11-05 10:32:55.619724
4,AAA2,AAA3,AAA6,AAA7,0.32,3.0,4.24,2.97,3.067,2.929,2025-11-05 10:32:56.313027
4,AAA2,AAA3,AAA6,AAA7,0.31,2.97,4.23,2.98,3.055,2.931,2025-11-05 10:32:57.027561
4,AAA2,AAA3,AAA6,AAA7,0.32,2.97,4.26,2.98,3.059,2.944,2025-11-05 10:32:57.739094
4,AAA2,AAA3,AAA6,AAA7,0.33,2.96,4.26,2.99,3.049,2.952,2025-11-05 10:32:58.445504
4,AAA2,AAA3,AAA6,AAA7,0.31,2.97,4.26,2.96,3.065,2.93,2025-11-05 10:32:59.158682
4,AAA2,AAA3,AAA6,AAA7,0.32,2.97,4.27,2.96,3.063,2.936,2025-11-05 10:32:59.877635
4,AAA2,AAA3,AAA6,AAA7,0.32,2.97,4.26,2.98,3.059,2.944,2025-11-05 10:33:00.579944
